ttwacode,ttwaname,All persons,Aged under 15 years,Aged 15 to 64 years,Aged 65 years and over,Asian: Bangladeshi,Asian: Chinese,Asian: Indian,Asian: Pakistani,Asian: Other Asian,Black: African,Black: Caribbean,Black: Other Black,Mixed: White and Asian,Mixed: White and Black African ,Mixed: White and Black Caribbean,Mixed: Other Mixed,White: British,White: Irish,White: Gypsy,White: Roma,White: Other White,Other ethnic group: Arab,Other ethnic group: Any other ethnic group,-8,0,1,2,3,4,5,6,"Job number, thousands, ASHE 8","Median, ASHE 8","Mean, ASHE 8","Job number, ASHE 7","Median, ASHE 7","Mean, ASHE 7",Rent count,Rent mean,Rent median,"Maximum rent, conservative","Maximum rent, central","Maximum rent, stretch"
135,London,10045400,18.27030083,69.18790193,12.54863818,3.276623131,1.557056961,7.082696558,3.016281084,4.230011747,7.398633205,3.542176519,1.528602146,1.380365142,0.83084795,1.420949888,1.828078524,40.95888367,1.712802875,0.097283334,0.393489557,13.89062755,1.441423935,4.406109264,0.194101855,0.131070446,0.064193434,0.084325264,0.027402872,0.108866932,0.365603814,0.024435384,3246,#VALUE!,#VALUE!,4074,706.465557,829.2064581,45530,1660.578509,1511.932887,1065.37271,889.0877957,556.1720879
143,Manchester,1867600,18.71544763,66.055997,15.23148426,0.990602913,1.36713429,2.089917541,6.231751981,1.283567145,3.955836368,0.953512529,0.627928893,0.865554723,0.667557293,1.167942814,0.790206682,70.25441743,1.381612765,0.054385307,0.110982009,4.431998287,1.242514457,1.554920754,0.199147225,0.145892133,0.072339598,0.101450159,0.040599434,0.136768301,0.283430394,0.020372757,727,525.1272352,596.6740028,807,537.0510533,625.57943,14100,918.2666667,842.8368794,817.021492,692.8407679,556.1720879
20,Birmingham,1690900,19.84767284,64.50137205,15.58607251,2.929031877,0.903784967,4.820036667,12.17915903,2.157117511,4.059033651,2.835560944,0.875521911,0.989088651,0.32440712,1.920054409,0.896912887,56.35898634,1.390129517,0.078721391,0.149056715,3.724655509,1.217866225,2.178892897,0.211641103,0.175051705,0.080850945,0.104867174,0.032952913,0.134297224,0.238227342,0.022111595,556,525.055036,600.0805755,675,565.133037,640.1515556,9180,857.6023965,802.2962963,800.5160073,678.8439848,556.1720879
157,Newcastle & Durham,1375200,16.24565154,64.12727603,19.5957388,0.827595986,0.780999127,0.907191681,0.820157068,0.725625364,0.956304538,0.084802211,0.105693717,0.52434555,0.305693717,0.221829552,0.370847877,89.14594241,0.384198662,0.11202007,0.09494619,2.359940372,0.515481385,0.718419139,0.173172583,0.164954298,0.076691387,0.110238038,0.052441226,0.158429189,0.243921879,0.020151402,559,501.1880143,566.6091234,559,492.5796064,549.6118068,9290,631.7922497,572.4488698,767.5050379,650.8504184,556.1720879
127,Leicester,1080800,17.56140822,64.71664508,17.73090303,0.958965581,0.567070688,15.60853997,1.53703738,1.537944115,2.456328645,0.589313472,0.31469282,0.857142857,0.329394893,0.924676166,0.634159882,66.43429867,0.521696891,0.08188379,0.104431902,4.429718727,0.448417839,1.635094375,0.18733041,0.162862688,0.081490057,0.105564414,0.04452413,0.147688464,0.245743634,0.024796202,409,513.9701711,575.5520782,408,504.0340686,568.6232843,6430,739.5194401,690.1041991,841.779719,713.8359427,556.1720879
129,Liverpool,1037300,16.22169093,65.31275427,18.44994698,0.241299528,1.033432951,0.851547286,0.42803432,0.945984768,1.438118191,0.193724091,0.322992384,0.587448183,0.596066712,0.564099103,0.66985443,85.20754844,1.02874771,0.046862046,0.146862046,3.905176902,0.891612841,0.977952376,0.172777414,0.179339656,0.078190295,0.106264897,0.042443394,0.15769713,0.243605593,0.019681622,382,500.9057592,563.5361257,391,506.4393862,575.0567775,6530,671.7963247,629.6630934,817.021492,692.8407679,556.1720879
34,Bristol,979500,16.75576314,66.24683002,17.04563553,0.392914752,0.852649311,1.482746299,1.086707504,0.904420623,2.19553854,0.815916284,0.37079122,0.896896376,0.422562532,1.149106687,0.796896376,79.96920878,0.715038285,0.129647779,0.148228688,6.414109239,0.352210311,0.971230219,0.177596391,0.119499957,0.072033609,0.104357588,0.041947292,0.155977663,0.309128823,0.019458679,443,555.9961625,612.5049661,485,576.0723711,640.2960825,9150,1309.031694,1145.737705,833.5269767,706.8375511,556.1720879
139,Luton & Watford,925100,19.77404605,64.56802508,15.68016431,2.746189601,0.627056534,3.681969517,5.92991028,2.158642309,2.60513458,1.500832342,0.59124419,1.165690196,0.48188304,1.170727489,0.988455302,64.33320722,1.656047995,0.1,0.1951789,8.072024646,0.506615501,1.484228732,0.21050387,0.127423266,0.077876232,0.105632963,0.038533503,0.123972246,0.29377233,0.02228559,384,595.7669271,701.2539063,414,478.4724638,568.0171498,9170,1088.263904,1019.46783,858.2852037,727.8327259,556.1720879
241,Wycombe & Slough,865100,19.3912958,63.59313374,16.99782684,0.354964744,0.552652873,7.448144723,8.074072362,2.351381343,1.824667668,1.021789389,0.392185874,1.235487227,0.354386776,1.029603514,0.954386776,63.07468501,1.14387932,0.117743613,0.118321581,7.447809502,0.500381459,1.939521443,0.206999352,0.116173657,0.071979922,0.103721859,0.036210817,0.120606005,0.322223648,0.022084739,332,602.8481928,724.3614458,326,608.4070552,718.8634969,6040,1261.059603,1146.523179,916.0544001,776.8214671,556.1720879
227,Warrington & Wigan,851600,17.18695397,63.43457022,19.37847581,0.046277595,0.43447628,0.575457961,0.389361202,0.509711132,0.566486613,0.1,0.138668389,0.428017849,0.278487553,0.339819164,0.339819164,91.54188586,0.486096759,0.1,0.078487553,2.970549554,0.2,0.512963833,0.183206437,0.163296435,0.086198538,0.124918933,0.052513839,0.143682804,0.225458471,0.020724543,348,516.8517241,585.5198276,297,508.7558923,584.303367,7780,629.8663239,585.9575835,817.021492,692.8407679,556.1720879
